Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
1.424334,Left,Wrist,-0.6883281,1.408513,-0.04886235,0.1871653,-0.2210976,0.682373,0.6711573
1.424334,Left,Left_IndexProximal,-0.7813808,1.400209,-0.02707193,0.617859,-0.6313027,0.3429507,0.3195189
1.424334,Left,Left_IndexIntermediate,-0.8234479,1.400262,-0.02867906,0.6272268,-0.6206577,0.3618585,0.3007149
1.424334,Left,Left_IndexDistal,-0.8484921,1.399038,-0.03048778,0.6386034,-0.6058968,0.3860661,0.275732
1.424334,Left,Left_IndexDistalEnd,-0.8727754,1.396239,-0.03333422,0.6386034,-0.6058968,0.3860661,0.275732
1.424334,Left,Left_MiddleProximal,-0.774831,1.417204,-0.0432573,0.5896717,-0.6116196,0.3846578,0.3608981
1.424334,Left,Left_MiddleIntermediate,-0.8260567,1.417648,-0.04556001,0.5989345,-0.6013203,0.4005686,0.3453065
1.424334,Left,Left_MiddleDistal,-0.8542542,1.416563,-0.04748637,0.610158,-0.5875741,0.4204737,0.3250636
1.424334,Left,Left_MiddleDistalEnd,-0.8773758,1.414271,-0.04976121,0.610158,-0.5875741,0.4204737,0.3250636
1.424334,Left,Left_PinkyProximal,-0.7600316,1.428348,-0.07452503,0.5201921,-0.5661371,0.4564771,0.4477925
1.424334,Left,Left_PinkyIntermediate,-0.7922338,1.429706,-0.07617031,0.5325757,-0.5530796,0.4722139,0.4329902
1.424334,Left,Left_PinkyDistal,-0.8124186,1.429438,-0.07740693,0.5480008,-0.5355039,0.492055,0.4132955
1.424334,Left,Left_PinkyDistalEnd,-0.83082,1.427866,-0.07877775,0.5480008,-0.5355039,0.492055,0.4132955
1.424334,Left,Left_RingProximal,-0.7696097,1.423111,-0.05791213,0.5496266,-0.5921775,0.4249433,0.40824
1.424334,Left,Left_RingIntermediate,-0.8131492,1.424624,-0.0602911,0.5590916,-0.5820023,0.4387762,0.3951783
1.424334,Left,Left_RingDistal,-0.8401989,1.424347,-0.06215813,0.5741104,-0.5644073,0.461189,0.3730239
1.424334,Left,Left_RingDistalEnd,-0.8609913,1.422574,-0.06409214,0.5741104,-0.5644073,0.461189,0.3730239
1.424334,Left,Left_ThumbProximal,-0.7180572,1.394801,-0.03119428,0.5912886,-0.6540458,-0.4359799,0.180343
1.424334,Left,Left_ThumbIntermediate,-0.7379205,1.393975,-0.01170317,0.6094884,-0.704403,-0.348814,0.1032938
1.424334,Left,Left_ThumbDistal,-0.7690796,1.392075,0.02087935,0.6041679,-0.6878331,-0.3804473,0.1308708
1.424334,Left,Left_ThumbDistalEnd,-0.7906297,1.3915,0.04095512,0.6041679,-0.6878331,-0.3804473,0.1308708
