Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
43.07811,Left,Wrist,-0.002730455,-0.2723004,0.2603327,0.4104779,0.530798,-0.001754411,0.7414573
43.07811,Left,Left_IndexProximal,0.06243647,-0.2110698,0.29609,0.1243438,-0.05799213,-0.4043146,0.9042708
43.07811,Left,Left_IndexIntermediate,0.08885208,-0.1874056,0.3061056,0.1397856,-0.05967394,-0.405531,0.9013571
43.07811,Left,Left_IndexDistal,0.1057219,-0.1724808,0.3131994,0.1906727,-0.08008923,-0.4143291,0.8863195
43.07811,Left,Left_IndexDistalEnd,0.1230447,-0.1581102,0.3231503,0.1906727,-0.08008923,-0.4143291,0.8863195
43.07811,Left,Left_MiddleProximal,0.04321242,-0.2034553,0.302707,0.181221,-0.07623391,-0.1791809,0.963972
43.07811,Left,Left_MiddleIntermediate,0.05646883,-0.167163,0.3184192,0.1842386,-0.07466842,-0.1752653,0.9642425
43.07811,Left,Left_MiddleDistal,0.06477998,-0.1438561,0.3286308,0.2429754,-0.07854235,-0.1903131,0.9479322
43.07811,Left,Left_MiddleDistalEnd,0.07231243,-0.1249577,0.3400832,0.2429754,-0.07854235,-0.1903131,0.9479322
43.07811,Left,Left_PinkyProximal,0.007825579,-0.2145559,0.3204987,0.3554149,-0.1024669,0.1106015,0.922469
43.07811,Left,Left_PinkyIntermediate,-0.0004394837,-0.1929776,0.339395,0.3603858,-0.1106197,0.1538621,0.9133524
43.07811,Left,Left_PinkyDistal,-0.007560011,-0.179303,0.3517158,0.3986656,-0.1032775,0.1550409,0.8979771
43.07811,Left,Left_PinkyDistalEnd,-0.01424154,-0.1675608,0.364382,0.3986656,-0.1032775,0.1550409,0.8979771
43.07811,Left,Left_RingProximal,0.02534182,-0.2064674,0.3116472,0.2328399,-0.04947765,-0.06435237,0.9691218
43.07811,Left,Left_RingIntermediate,0.02919484,-0.1729989,0.3289886,0.2390067,-0.04919205,-0.06439511,0.9676313
43.07811,Left,Left_RingDistal,0.03180547,-0.1503426,0.3410951,0.2951326,-0.04997491,-0.07335094,0.9513252
43.07811,Left,Left_RingDistalEnd,0.0341121,-0.1332617,0.3530169,0.2951326,-0.04997491,-0.07335094,0.9513252
43.07811,Left,Left_ThumbProximal,0.04116265,-0.2626472,0.266999,-0.3915574,-0.3825718,-0.5776761,0.6054855
43.07811,Left,Left_ThumbIntermediate,0.07238154,-0.2578656,0.2677284,-0.2237788,-0.5346369,-0.4780986,0.659931
43.07811,Left,Left_ThumbDistal,0.1030829,-0.2475314,0.2730931,-0.3208893,-0.4591713,-0.4908191,0.6673002
43.07811,Left,Left_ThumbDistalEnd,0.1310602,-0.238333,0.2737554,-0.3208893,-0.4591713,-0.4908191,0.6673002
