Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
25.32263,Right,Wrist,0.06485388,-0.2960148,0.4733506,-0.5553555,0.2692029,-0.7112606,0.3364802
25.32263,Right,Right_IndexProximal,0.03700745,-0.221024,0.5197405,0.9693431,0.03868651,0.1507675,-0.1901236
25.32263,Right,Right_IndexIntermediate,0.03232509,-0.1883025,0.5323719,-0.9674524,-0.03545684,-0.1540275,0.1976233
25.32263,Right,Right_IndexDistal,0.02938838,-0.1674559,0.5407952,0.9563475,0.05071926,0.1537676,-0.2432766
25.32263,Right,Right_IndexDistalEnd,0.02516029,-0.1458857,0.551862,0.9563475,0.05071926,0.1537676,-0.2432766
25.32263,Right,Right_MiddleProximal,0.05315189,-0.2285077,0.5305994,0.9443643,-0.07011393,0.1557457,-0.2810767
25.32263,Right,Right_MiddleIntermediate,0.05494927,-0.195179,0.5527354,-0.9433658,0.07522715,-0.1570799,0.2823626
25.32263,Right,Right_MiddleDistal,0.05631765,-0.1738648,0.5670363,0.9286633,-0.05475947,0.1661018,-0.3271037
25.32263,Right,Right_MiddleDistalEnd,0.05615541,-0.1556548,0.5816438,0.9286633,-0.05475947,0.1661018,-0.3271037
25.32263,Right,Right_PinkyProximal,0.06803011,-0.2615673,0.5462747,0.8502008,-0.2889013,0.1498479,-0.4138126
25.32263,Right,Right_PinkyIntermediate,0.07855631,-0.2475058,0.5689238,-0.8298277,0.3224711,-0.1442954,0.4319467
25.32263,Right,Right_PinkyDistal,0.08633661,-0.2395677,0.5842721,0.8114504,-0.3107758,0.1603991,-0.4682302
25.32263,Right,Right_PinkyDistalEnd,0.09289559,-0.2327465,0.6001906,0.8114504,-0.3107758,0.1603991,-0.4682302
25.32263,Right,Right_RingProximal,0.06202878,-0.2433303,0.5394313,0.9128775,-0.1520845,0.1960612,-0.3241692
25.32263,Right,Right_RingIntermediate,0.06750674,-0.2162767,0.5631341,-0.9107786,0.1505823,-0.1977175,0.3297209
25.32263,Right,Right_RingDistal,0.07107443,-0.1979989,0.579501,0.8938898,-0.1330358,0.2077162,-0.3743221
25.32263,Right,Right_RingDistalEnd,0.07280026,-0.1836556,0.5946841,0.8938898,-0.1330358,0.2077162,-0.3743221
25.32263,Right,Right_ThumbProximal,0.03385152,-0.264798,0.4796867,0.8674086,0.31859,-0.3503629,0.1528048
25.32263,Right,Right_ThumbIntermediate,0.01615096,-0.2402214,0.4813739,-0.8911973,-0.1977426,0.4082276,-0.003969858
25.32263,Right,Right_ThumbDistal,0.001581547,-0.2123071,0.4829832,0.9032664,0.1661986,-0.3629612,0.1573145
25.32263,Right,Right_ThumbDistalEnd,-0.01062759,-0.1859347,0.4781646,0.9032665,0.1661987,-0.362961,0.1573145
