Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
8.293514,Left,Wrist,0.03518968,-0.2014373,0.2346,-0.2176805,0.6550424,0.5648014,-0.4522555
8.293514,Left,Left_IndexProximal,0.02766524,-0.1887247,0.332178,0.2770441,0.7684909,0.5659825,0.1110555
8.293514,Left,Left_IndexIntermediate,0.0389987,-0.1809516,0.3673541,0.2779508,0.7721221,0.5619584,0.1038001
8.293514,Left,Left_IndexDistal,0.04656257,-0.1757754,0.389751,0.2636231,0.8168356,0.5034854,0.09892623
8.293514,Left,Left_IndexDistalEnd,0.05470969,-0.1670635,0.4112765,0.2636231,0.8168356,0.5034854,0.09892623
8.293514,Left,Left_MiddleProximal,0.04946055,-0.1907651,0.3282061,0.2108453,0.7758564,0.5892814,0.0796214
8.293514,Left,Left_MiddleIntermediate,0.05943399,-0.1815075,0.3687257,0.2129543,0.7755224,0.5896301,0.07451808
8.293514,Left,Left_MiddleDistal,0.0660842,-0.1756378,0.3946839,0.2007598,0.811713,0.5437629,0.07169414
8.293514,Left,Left_MiddleDistalEnd,0.07187279,-0.1679794,0.4159651,0.2007598,0.811713,0.5437629,0.07169414
8.293514,Left,Left_PinkyProximal,0.08064254,-0.1768187,0.3035069,0.09107032,0.7107849,0.6974525,0.007215237
8.293514,Left,Left_PinkyIntermediate,0.08429484,-0.1764964,0.3338755,0.08786834,0.7547562,0.6499779,-0.01233875
8.293514,Left,Left_PinkyDistal,0.08730178,-0.1736728,0.353675,0.08121609,0.7871744,0.6112774,-0.0100742
8.293514,Left,Left_PinkyDistalEnd,0.08989777,-0.1692376,0.3714668,0.08121609,0.7871744,0.6112774,-0.0100742
8.293514,Left,Left_RingProximal,0.06637445,-0.1850876,0.3176926,0.1540331,0.7528624,0.6392019,0.02989531
8.293514,Left,Left_RingIntermediate,0.07389627,-0.1798304,0.3554222,0.1534573,0.7569742,0.6345171,0.02880516
8.293514,Left,Left_RingDistal,0.07907634,-0.175923,0.3810743,0.1449336,0.7951885,0.5881156,0.02811997
8.293514,Left,Left_RingDistalEnd,0.08321382,-0.1703435,0.400847,0.1449336,0.7951885,0.5881156,0.02811997
8.293514,Left,Left_ThumbProximal,0.01061876,-0.1842167,0.2732632,0.4581038,0.2632063,0.5301803,0.6631541
8.293514,Left,Left_ThumbIntermediate,-0.0004909802,-0.185095,0.3036586,0.6099186,0.4803188,0.2994155,0.554657
8.293514,Left,Left_ThumbDistal,0.0033477,-0.1805516,0.3367775,0.5872508,0.4927185,0.2848955,0.5755003
8.293514,Left,Left_ThumbDistalEnd,0.01073529,-0.1761934,0.3649592,0.5872508,0.4927185,0.2848955,0.5755003
