Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
7.176794,Left,Wrist,-0.2259032,-0.1967465,0.2234225,0.258337,0.3295769,-0.01047428,0.9080372
7.176794,Left,Left_IndexProximal,-0.1772577,-0.1219612,0.2606825,0.5850104,-0.3866552,-0.2333407,0.6736562
7.176794,Left,Left_IndexIntermediate,-0.1823638,-0.1143167,0.2965194,0.9655009,-0.09281306,-0.2398988,-0.04052526
7.176794,Left,Left_IndexDistal,-0.1870737,-0.137538,0.29572,0.7490895,0.2088646,-0.1146818,-0.6181331
7.176794,Left,Left_IndexDistalEnd,-0.1828622,-0.1411943,0.271751,0.7490895,0.2088646,-0.1146818,-0.6181331
7.176794,Left,Left_MiddleProximal,-0.1966071,-0.1138471,0.2547833,0.69062,-0.2871515,-0.2116903,0.6291064
7.176794,Left,Left_MiddleIntermediate,-0.2020623,-0.1156702,0.2962608,0.9709632,-0.03529186,-0.2229558,-0.07921831
7.176794,Left,Left_MiddleDistal,-0.2048533,-0.1421399,0.2925495,0.7059624,0.2499232,-0.06628097,-0.6593657
7.176794,Left,Left_MiddleDistalEnd,-0.1986558,-0.1422695,0.2700414,0.7059624,0.2499232,-0.06628097,-0.6593657
7.176794,Left,Left_PinkyProximal,-0.2373019,-0.1203532,0.2574161,0.7187698,-0.1377689,-0.2512854,0.6334394
7.176794,Left,Left_PinkyIntermediate,-0.2336969,-0.1251344,0.2867787,0.9560249,0.05839357,-0.2755921,-0.08158357
7.176794,Left,Left_PinkyDistal,-0.2323756,-0.1445488,0.2830503,0.6675563,0.2142574,-0.2605411,-0.6637629
7.176794,Left,Left_PinkyDistalEnd,-0.2334835,-0.1450493,0.2645711,0.6675563,0.2142574,-0.2605411,-0.6637629
7.176794,Left,Left_RingProximal,-0.216872,-0.1147256,0.2551606,0.7308243,-0.2157668,-0.2042959,0.6144949
7.176794,Left,Left_RingIntermediate,-0.2193178,-0.1204956,0.2926806,0.9672401,0.02102673,-0.2352483,-0.09307536
7.176794,Left,Left_RingDistal,-0.2193986,-0.1459453,0.2877569,0.694871,0.2102183,-0.165687,-0.667466
7.176794,Left,Left_RingDistalEnd,-0.2179113,-0.1463769,0.2668568,0.694871,0.2102183,-0.165687,-0.667466
7.176794,Left,Left_ThumbProximal,-0.1934142,-0.1790061,0.2546558,-0.2645005,-0.7739778,-0.4559085,0.350921
7.176794,Left,Left_ThumbIntermediate,-0.1718128,-0.1611685,0.2695247,-0.006652754,-0.9187873,-0.2201945,0.3275671
7.176794,Left,Left_ThumbDistal,-0.1637085,-0.1338032,0.2860203,0.210013,-0.9337555,-0.1499897,0.2479881
7.176794,Left,Left_ThumbDistalEnd,-0.1730705,-0.1082691,0.2973401,0.210013,-0.9337555,-0.1499897,0.2479881
